iter	Passed	Remaining
0	133	133187
1	134	67163
2	135	45048
3	136	33949
4	137	27283
5	137	22837
6	138	19656
7	139	17270
8	139	15407
9	140	13924
10	141	12711
11	142	11695
12	142	10839
13	143	10104
14	144	9470
15	144	8915
16	145	8421
17	146	7983
18	147	7594
19	147	7251
20	149	6947
21	149	6666
22	150	6406
23	151	6163
24	152	5938
25	152	5728
26	153	5535
27	154	5355
28	154	5187
29	155	5032
30	156	4886
31	156	4748
32	157	4619
33	158	4497
34	159	4385
35	159	4277
36	160	4174
37	161	4076
38	161	3984
39	162	3902
40	163	3822
41	164	3743
42	164	3668
43	165	3596
44	166	3526
45	166	3459
46	167	3395
47	168	3333
48	168	3274
49	169	3218
50	170	3165
51	170	3112
52	171	3061
53	171	3013
54	172	2966
55	173	2920
56	173	2877
57	174	2834
58	175	2794
59	175	2755
60	176	2720
61	177	2683
62	178	2648
63	178	2614
64	179	2580
65	180	2548
66	180	2517
67	181	2485
68	182	2456
69	182	2426
70	183	2397
71	183	2370
72	184	2343
73	185	2317
74	185	2291
75	186	2268
76	187	2244
77	187	2221
78	188	2198
79	189	2178
80	190	2159
81	191	2139
82	191	2116
83	192	2097
84	193	2079
85	193	2060
86	194	2043
87	195	2026
88	196	2009
89	197	1992
90	197	1975
91	198	1958
92	199	1942
93	199	1926
94	200	1911
95	201	1895
96	202	1880
97	202	1865
98	203	1851
99	204	1836
100	204	1822
101	205	1809
102	206	1795
103	206	1782
104	207	1769
105	208	1757
106	209	1744
107	209	1731
108	210	1719
109	211	1707
110	211	1695
111	212	1683
112	212	1671
113	213	1659
114	214	1648
115	214	1638
116	215	1626
117	216	1615
118	216	1604
119	217	1594
120	217	1583
121	218	1572
122	219	1562
123	219	1552
124	220	1543
125	221	1534
126	221	1524
127	222	1515
128	223	1506
129	223	1497
130	224	1488
131	224	1479
132	225	1470
133	226	1462
134	226	1453
135	227	1445
136	228	1437
137	228	1430
138	229	1422
139	230	1414
140	230	1406
141	231	1397
142	231	1390
143	232	1382
144	233	1375
145	233	1367
146	234	1360
147	235	1354
148	236	1348
149	236	1341
150	237	1335
151	238	1328
152	238	1321
153	239	1314
154	239	1308
155	240	1301
156	241	1295
157	241	1288
158	242	1283
159	243	1277
160	243	1270
161	244	1265
162	245	1259
163	245	1253
164	246	1248
165	247	1242
166	248	1237
167	248	1232
168	249	1227
169	250	1222
170	251	1217
171	251	1213
172	252	1207
173	253	1202
174	254	1199
175	255	1193
176	255	1188
177	256	1184
178	257	1179
179	257	1174
180	258	1169
181	259	1164
182	259	1159
183	260	1154
184	261	1150
185	261	1145
186	262	1140
187	263	1136
188	263	1131
189	264	1127
190	265	1122
191	265	1119
192	266	1114
193	267	1110
194	267	1106
195	268	1101
196	269	1097
197	269	1093
198	270	1089
199	271	1085
200	272	1081
201	272	1077
202	273	1074
203	274	1070
204	274	1066
205	275	1062
206	276	1058
207	277	1054
208	277	1051
209	278	1047
210	279	1043
211	279	1040
212	280	1036
213	281	1032
214	282	1029
215	282	1026
216	283	1023
217	284	1020
218	285	1017
219	285	1013
